filename,left_speed,right_speed,session_id
00000.jpg,0,0,0
00001.jpg,0,0,0
00002.jpg,0,0,0
00003.jpg,0,0,0
00004.jpg,1,1,0
00005.jpg,5,4,0
00006.jpg,7,7,0
00007.jpg,7,7,0
00008.jpg,8,8,0
00009.jpg,8,9,0
00010.jpg,9,9,0
00011.jpg,9,10,0
00012.jpg,9,10,0
00013.jpg,9,10,0
00014.jpg,9,10,0
00015.jpg,9,10,0
00016.jpg,9,10,0
00017.jpg,10,10,0
00018.jpg,10,10,0
00019.jpg,10,10,0
00020.jpg,10,10,0
00021.jpg,10,10,0
00022.jpg,10,10,0
00023.jpg,10,10,0
00024.jpg,10,10,0
00025.jpg,10,10,0
00026.jpg,10,10,0
00027.jpg,10,10,0
00028.jpg,10,10,0
00029.jpg,10,10,0
00030.jpg,10,10,0
00031.jpg,10,10,0
00032.jpg,10,10,0
00033.jpg,10,10,0
00034.jpg,10,10,0
00035.jpg,10,10,0
00036.jpg,10,10,0
00037.jpg,10,10,0
00038.jpg,10,10,0
00039.jpg,10,10,0
00040.jpg,10,10,0
00041.jpg,10,10,0
00042.jpg,11,10,0
00043.jpg,11,10,0
00044.jpg,11,10,0
00045.jpg,11,10,0
00046.jpg,11,10,0
00047.jpg,12,11,0
00048.jpg,12,11,0
00049.jpg,12,11,0
00050.jpg,12,11,0
00051.jpg,12,11,0
00052.jpg,12,11,0
00053.jpg,12,11,0
00054.jpg,12,11,0
00055.jpg,12,11,0
00056.jpg,12,11,0
00057.jpg,12,11,0
00058.jpg,12,11,0
00059.jpg,12,11,0
00060.jpg,12,11,0
00061.jpg,12,11,0
00062.jpg,12,11,0
00063.jpg,12,11,0
00064.jpg,12,11,0
00065.jpg,12,11,0
00066.jpg,12,11,0
00067.jpg,12,11,0
00068.jpg,12,11,0
00069.jpg,12,11,0
00070.jpg,0,0,0
00071.jpg,0,0,0
00072.jpg,0,0,0
00073.jpg,0,0,0
00074.jpg,0,0,0
00075.jpg,0,0,0
00076.jpg,0,0,0
00077.jpg,0,0,0
00078.jpg,0,0,0
00079.jpg,8,7,1
00080.jpg,8,7,1
00081.jpg,8,7,1
00082.jpg,8,7,1
00083.jpg,8,7,1
00084.jpg,8,7,1
00085.jpg,8,7,1
00086.jpg,8,7,1
00087.jpg,8,7,1
00088.jpg,8,7,1
00089.jpg,8,7,1
00090.jpg,8,7,1
00091.jpg,8,7,1
00092.jpg,8,7,1
00093.jpg,8,7,1
00094.jpg,8,4,1
00095.jpg,8,4,1
00096.jpg,8,4,1
00097.jpg,8,4,1
00098.jpg,8,4,1
00099.jpg,8,4,1
00100.jpg,8,6,1
00101.jpg,6,7,1
00102.jpg,6,8,1
00103.jpg,6,8,1
00104.jpg,6,8,1
00105.jpg,6,9,1
00106.jpg,6,9,1
00107.jpg,6,9,1
00108.jpg,6,9,1
00109.jpg,9,9,1
00110.jpg,9,8,1
00111.jpg,9,7,1
00112.jpg,9,7,1
00113.jpg,9,6,1
00114.jpg,9,2,1
00115.jpg,9,2,1
00116.jpg,9,2,1
00117.jpg,9,2,1
00118.jpg,9,4,1
00119.jpg,9,6,1
00120.jpg,9,6,1
00121.jpg,9,6,1
00122.jpg,8,7,1
00123.jpg,8,7,1
00124.jpg,8,8,1
00125.jpg,8,8,1
00126.jpg,8,8,1
00127.jpg,5,8,1
00128.jpg,8,8,1
00129.jpg,8,8,1
00130.jpg,8,8,1
00131.jpg,8,8,1
00132.jpg,8,8,1
00133.jpg,8,8,1
00134.jpg,9,8,1
00135.jpg,9,8,1
00136.jpg,9,8,1
00137.jpg,9,8,1
00138.jpg,9,8,1
00139.jpg,9,8,1
00140.jpg,9,8,1
00141.jpg,9,8,1
00142.jpg,9,8,1
00143.jpg,9,8,1
00144.jpg,9,8,1
00145.jpg,9,8,1
00146.jpg,9,8,1
00147.jpg,9,8,1
00148.jpg,9,8,1
00149.jpg,9,8,1
00150.jpg,9,9,1
00151.jpg,8,9,1
00152.jpg,8,9,1
00153.jpg,8,9,1
00154.jpg,8,9,1
00155.jpg,8,9,1
00156.jpg,8,9,1
00157.jpg,8,9,1
00158.jpg,8,9,1
00159.jpg,9,8,1
00160.jpg,9,5,1
00161.jpg,9,0,1
00162.jpg,0,0,1
00163.jpg,0,0,1
00164.jpg,0,0,1
00165.jpg,0,0,1
00166.jpg,6,5,1
00167.jpg,7,7,1
00168.jpg,7,7,1
00169.jpg,7,7,1
00170.jpg,7,7,1
00171.jpg,7,7,1
00172.jpg,7,8,1
00173.jpg,7,9,1
00174.jpg,7,9,1
00175.jpg,7,9,1
00176.jpg,7,9,1
00177.jpg,7,9,1
00178.jpg,7,9,1
00179.jpg,9,9,1
00180.jpg,9,9,1
00181.jpg,9,9,1
00182.jpg,9,9,1
00183.jpg,9,9,1
00184.jpg,9,9,1
00185.jpg,9,9,1
00186.jpg,9,9,1
00187.jpg,9,9,1
00188.jpg,9,9,1
00189.jpg,9,9,1
00190.jpg,9,9,1
00191.jpg,9,9,1
00192.jpg,0,0,1
00193.jpg,0,0,1
00194.jpg,0,0,1
00195.jpg,0,0,1
00196.jpg,0,0,1
00197.jpg,0,0,1
00198.jpg,0,0,1
00199.jpg,0,0,1
00200.jpg,0,0,1
00201.jpg,0,2,2
00202.jpg,0,3,2
00203.jpg,0,3,2
00204.jpg,0,3,2
00205.jpg,0,3,2
00206.jpg,0,4,2
00207.jpg,0,4,2
00208.jpg,0,4,2
00209.jpg,0,4,2
00210.jpg,0,4,2
00211.jpg,1,4,2
00212.jpg,3,4,2
00213.jpg,4,4,2
00214.jpg,4,4,2
00215.jpg,5,4,2
00216.jpg,5,4,2
00217.jpg,5,4,2
00218.jpg,5,4,2
00219.jpg,6,4,2
00220.jpg,6,4,2
00221.jpg,6,4,2
00222.jpg,6,5,2
00223.jpg,6,5,2
00224.jpg,6,5,2
00225.jpg,6,6,2
00226.jpg,5,6,2
00227.jpg,5,6,2
00228.jpg,5,6,2
00229.jpg,5,6,2
00230.jpg,5,6,2
00231.jpg,5,6,2
