label,rawRed,rawGreen,rawBlue,reflection,hue,saturation,value
green,0.00123598077363241,0.0014343480582894638,0.001373311970702678,0.0784313725490196,0.00247196154726482,0.054901960784313725,0.03529411764705882
green,0.002822919050888838,0.0028534370946822307,0.002822919050888838,0.1607843137254902,0.0018310826276035706,0.00392156862745098,0.07058823529411765
green,0.0014496070801861601,0.0015716792553597315,0.0015716792553597315,0.09019607843137255,0.002746623941405356,0.03137254901960784,0.0392156862745098
red,0.0008697642481116961,0.0004730296787975891,0.0004730296787975891,0.03529411764705882,0.0,0.1803921568627451,0.023529411764705882
red,0.0013275349050125887,0.0012970168612191958,0.0012817578393224994,0.07450980392156863,0.00030518043793392844,0.011764705882352941,0.03137254901960784
red,0.0014190890363927672,0.0006561379415579462,0.0007324330510414282,0.054901960784313725,0.005401693751430533,0.21176470588235294,0.03529411764705882
red,0.0025024795910582134,0.0014038300144960708,0.0015106431677729458,0.10588235294117647,0.005401693751430533,0.17254901960784313,0.06274509803921569
red,0.0053711757076371405,0.0026245517662317848,0.0028381780727855343,0.21176470588235294,0.0054169527733272296,0.2,0.13333333333333333
blue,0.0011749446860456244,0.0013580529488059815,0.0014953841458762494,0.07450980392156863,0.003143358510719463,0.08235294117647059,0.0392156862745098
blue,0.0008697642481116961,0.0009613183794918746,0.0010376134889753567,0.054901960784313725,0.0031586175326161594,0.06274509803921569,0.027450980392156862
blue,0.0013885709925993744,0.0017547875181200886,0.0019073777370870527,0.09411764705882353,0.0030212863355458916,0.10588235294117647,0.047058823529411764
blue,0.0006713969634546426,0.0006713969634546426,0.0007324330510414282,0.0392156862745098,0.0036621652552071412,0.03137254901960784,0.0196078431372549
blue,0.0011291676203555353,0.0011749446860456244,0.0013122758831158924,0.07058823529411765,0.003433279926756695,0.054901960784313725,0.03137254901960784
yellow,0.002319371328297856,0.0014496070801861601,0.001266498817425803,0.10196078431372549,0.00015259021896696422,0.17647058823529413,0.058823529411764705
yellow,0.0025787747005416952,0.0016937514305333029,0.00166323338673991,0.11764705882352941,3.0518043793392844e-05,0.1411764705882353,0.06666666666666667
yellow,0.004791332875562677,0.003341725795376516,0.003143358510719463,0.2235294117647059,0.00010681315327687495,0.13333333333333333,0.12156862745098039
yellow,0.0026245517662317848,0.00166323338673991,0.0015564202334630351,0.11764705882352941,9.155413138017853e-05,0.1607843137254902,0.06666666666666667
yellow,0.0025940337224383916,0.0017395284962233922,0.0014953841458762494,0.11764705882352941,0.00019836728465705348,0.16470588235294117,0.06666666666666667
white,0.0029144731822690166,0.0031128404669260703,0.0032654306858930344,0.17647058823529413,0.003143358510719463,0.043137254901960784,0.08235294117647059
white,0.003433279926756695,0.0036011291676203558,0.0038300144960708017,0.21176470588235294,0.0032806897077897307,0.0392156862745098,0.09803921568627451
white,0.0035248340581368735,0.0037079423208972303,0.003952086671244373,0.21568627450980393,0.0032654306858930344,0.043137254901960784,0.09803921568627451
white,0.0033722438391699094,0.003555352101930266,0.0037842374303807126,0.20784313725490197,0.003250171663996338,0.043137254901960784,0.09411764705882353
white,0.0055848020141908905,0.005767910276951248,0.005905241474021515,0.32941176470588235,0.003143358510719463,0.0196078431372549,0.14901960784313725
white,0.004654001678492409,0.00477607385366598,0.004852368963149462,0.27058823529411763,0.0030975814450293735,0.01568627450980392,0.12156862745098039
white,0.0036316472114137485,0.0038147554741741053,0.004028381780727856,0.2196078431372549,0.0032349126420996416,0.0392156862745098,0.10196078431372549
white,0.00392156862745098,0.00413519493400473,0.004333562218661784,0.23529411764705882,0.003189135576409552,0.0392156862745098,0.10980392156862745
white,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black,0.0,0.0,0.0,0.0,0.0,0.0,0.0
